"","element","fixture","opponent_team","total_points","was_home","kickoff_time","team_h_score","team_a_score","round","minutes","goals_scored","assists","clean_sheets","goals_conceded","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus","bps","influence","creativity","threat","ict_index","value","transfers_balance","selected","transfers_in","transfers_out","playername"
"577",111,39,16,0,TRUE,"2020-10-17T14:00:00Z",3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",49,-990,11355,403,1393,"Emerson Palmieri dos Santos"
"578",112,7,3,2,FALSE,"2020-09-14T19:15:00Z",1,3,1,90,0,0,0,1,0,0,0,0,0,2,0,12,"10.4","0.0","0.0","1.0",50,0,132136,0,0,"Kepa Arrizabalaga"
"579",112,11,11,2,TRUE,"2020-09-20T15:30:00Z",0,2,2,90,0,0,0,2,0,0,0,0,0,3,0,16,"18.2","0.0","0.0","1.8",50,-14874,136627,9656,24530,"Kepa Arrizabalaga"
"580",112,27,18,0,FALSE,"2020-09-26T16:30:00Z",3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",50,-12338,133908,23297,35635,"Kepa Arrizabalaga"
"581",112,31,6,0,TRUE,"2020-10-03T11:30:00Z",4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",49,-34954,98359,1574,36528,"Kepa Arrizabalaga"
"582",112,39,16,2,TRUE,"2020-10-17T14:00:00Z",3,3,5,90,0,0,0,3,0,0,0,0,0,3,0,12,"22.2","0.0","0.0","2.2",48,-15536,87191,6812,22348,"Kepa Arrizabalaga"
"583",113,7,3,2,FALSE,"2020-09-14T19:15:00Z",1,3,1,90,0,0,0,1,0,0,0,0,0,0,0,19,"17.2","2.8","4.0","2.4",50,0,234920,0,0,"N'Golo Kanté"
"584",113,11,11,2,TRUE,"2020-09-20T15:30:00Z",0,2,2,90,0,0,0,2,0,0,0,0,0,0,0,16,"18.6","2.8","4.0","2.5",50,-10834,289355,25961,36795,"N'Golo Kanté"
"585",113,27,18,2,FALSE,"2020-09-26T16:30:00Z",3,3,3,90,0,0,0,3,0,0,0,0,0,0,0,16,"15.4","7.2","2.0","2.5",50,-15492,298835,29932,45424,"N'Golo Kanté"
"586",113,31,6,2,TRUE,"2020-10-03T11:30:00Z",4,0,4,82,0,0,1,0,0,0,0,1,0,0,0,13,"11.6","4.9","1.0","1.8",50,-12401,299713,24755,37156,"N'Golo Kanté"
"587",113,39,16,2,TRUE,"2020-10-17T14:00:00Z",3,3,5,90,0,0,0,3,0,0,0,0,0,0,0,10,"8.6","4.3","0.0","1.3",49,-53812,249646,7334,61146,"N'Golo Kanté"
